timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az,curvature,yaw,beta,r,speed_mps
7400000,132.9848175048828,3.225206136703491,0.0,0.0,0.0,0.16308416426181793,0.9866121411323547,17.62601661682129,3.650144100189209,0.0,-0.3978538513183594,1.9211971759796143,0.0,0.010552076622843742,0.32763174176216125,-0.12342976033687592,0.18993738293647766,18.0
7500000,134.74742126464844,3.5902204513549805,0.0,0.0,0.0,0.17244639992713928,0.9850189089775085,17.58518409729004,3.8420469760894775,0.0,-0.4187774658203125,1.9167470932006836,0.0,0.010552076622843742,0.3466254770755768,-0.1315235048532486,0.18993738293647766,18.0
7600000,136.5059356689453,3.9744250774383545,0.0,0.0,0.0,0.18179307878017426,0.9833368062973022,17.542261123657227,4.033493518829346,0.0,-0.43964385986328125,1.9120681285858154,0.0,0.010552076622843742,0.3656192123889923,-0.13961724936962128,0.18993738293647766,18.0
7700000,138.26016235351562,4.377774238586426,0.0,0.0,0.0,0.1911233514547348,0.9815660119056702,17.497255325317383,4.224460601806641,0.0,-0.4604530334472656,1.9071602821350098,0.0,0.010552076622843742,0.38461294770240784,-0.14771099388599396,0.18993738293647766,18.0
7800000,140.0098876953125,4.800220489501953,0.0,0.0,0.0,0.20043639838695526,0.9797067046165466,17.450170516967773,4.414925575256348,0.0,-0.4812145233154297,1.9020271301269531,0.0,0.010552076622843742,0.40360668301582336,-0.15580473840236664,0.18993738293647766,18.0
7900000,141.75489807128906,5.241713047027588,0.0,0.0,0.0,0.20973137021064758,0.977759063243866,17.401012420654297,4.604866027832031,0.0,-0.5019187927246094,1.896672248840332,0.0,0.010552076622843742,0.4226004183292389,-0.16389848291873932,0.18993738293647766,18.0
8000000,143.4949951171875,5.702199459075928,0.0,0.0,0.0,0.21900741755962372,0.9757232069969177,17.34978675842285,4.794260025024414,0.0,-0.5225658416748047,1.8910884857177734,0.0,0.010552076622843742,0.4415941536426544,-0.171992227435112,0.18993738293647766,18.0
8100000,145.22998046875,6.1816253662109375,0.0,0.0,0.0,0.228263720870018,0.9735993146896362,17.296499252319336,4.983083724975586,0.0,-0.5431461334228516,1.8852806091308594,0.0,0.010552076622843742,0.46058788895606995,-0.18008597195148468,0.18993738293647766,18.0
8200000,146.95962524414062,6.679933547973633,0.0,0.0,0.0,0.2374994307756424,0.9713876843452454,17.24115753173828,5.171316146850586,0.0,-0.5636692047119141,1.8792462348937988,0.0,0.010552076622843742,0.4795816242694855,-0.18817971646785736,0.18993738293647766,18.0
8300000,148.68374633789062,7.1970648765563965,0.0,0.0,0.0,0.24671372771263123,0.9690884351730347,17.183765411376953,5.358932971954346,0.0,-0.5841159820556641,1.8729925155639648,0.0,0.010552076622843742,0.498575359582901,-0.19627346098423004,0.18993738293647766,18.0
8400001,150.40213012695312,7.7329583168029785,0.0,0.0,0.0,0.25590577721595764,0.9667017459869385,17.12433433532715,5.545914649963379,0.0,-0.6044864654541016,1.8665194511413574,0.0,0.010552076622843742,0.5175691246986389,-0.20436720550060272,0.18993738293647766,18.0
8500000,152.11456298828125,8.28754997253418,0.0,0.0,0.0,0.2650747299194336,0.9642278552055359,17.062868118286133,5.732236862182617,0.0,-0.6247997283935547,1.8598127365112305,0.0,0.010552076622843742,0.5365628600120544,-0.2124609500169754,0.18993738293647766,18.0
8600000,153.8208465576172,8.860774040222168,0.0,0.0,0.0,0.2742197811603546,0.9616670608520508,16.999374389648438,5.917877197265625,0.0,-0.6450366973876953,1.8528938293457031,0.0,0.010552076622843742,0.55555659532547,-0.22055469453334808,0.18993738293647766,18.0
8700000,155.52078247070312,9.452561378479004,0.0,0.0,0.0,0.28334009647369385,0.9590194821357727,16.933860778808594,6.102815628051758,0.0,-0.6651973724365234,1.8457531929016113,0.0,0.010552076622843742,0.5745503306388855,-0.22864843904972076,0.18993738293647766,18.0
8800000,157.21417236328125,10.062843322753906,0.0,0.0,0.0,0.2924348711967468,0.9562854170799255,16.866334915161133,6.287027835845947,0.0,-0.685272216796875,1.838390827178955,0.0,0.010552076622843742,0.593544065952301,-0.23674218356609344,0.18993738293647766,18.0
8900001,158.9008026123047,10.691546440124512,0.0,0.0,0.0,0.3015032708644867,0.9534651637077332,16.79680633544922,6.470493793487549,0.0,-0.70526123046875,1.8308162689208984,0.0,0.010552076622843742,0.6125378012657166,-0.24483592808246613,0.18993738293647766,18.0
9000000,160.5804901123047,11.338595390319824,0.0,0.0,0.0,0.3105444610118866,0.9505588412284851,16.725282669067383,6.653191089630127,0.0,-0.7251834869384766,1.8230175971984863,0.0,0.010552076622843742,0.6315315365791321,-0.2529296576976776,0.18993738293647766,18.0
9100000,162.25302124023438,12.003914833068848,0.0,0.0,0.0,0.31955766677856445,0.94756680727005,16.651769638061523,6.835097312927246,0.0,-0.7450199127197266,1.8150043487548828,0.0,0.010552076622843742,0.6505252718925476,-0.2610234022140503,0.18993738293647766,18.0
9200000,163.91819763183594,12.687424659729004,0.0,0.0,0.0,0.328542023897171,0.9444893598556519,16.576278686523438,7.0161919593811035,0.0,-0.7647514343261719,1.806778907775879,0.0,0.010552076622843742,0.6695190072059631,-0.269117146730423,0.18993738293647766,18.0
9300000,165.57582092285156,13.389043807983398,0.0,0.0,0.0,0.3374967873096466,0.9413266777992249,16.49881935119629,7.196453094482422,0.0,-0.7843971252441406,1.7983365058898926,0.0,0.010552076622843742,0.6885127425193787,-0.27721089124679565,0.18993738293647766,18.0
